method,route,name,handler,global_filters,local_filters,classification,status,reason,recommended_action,handler_namespace_review,cli_route
OPTIONS,Premium-Features/Wallets,»,Wallets/Manager,,,USER_AUTH,MISSING_GUARD,Product/user route pattern detected but no user auth guard was recognized.,add_or_confirm_login_authcheck_guard,no,yes
OPTIONS,Investments/Reports,»,Investments/Trade-Tracker,,,USER_AUTH,MISSING_GUARD,Product/user route pattern detected but no user auth guard was recognized.,add_or_confirm_login_authcheck_guard,no,yes
TRACE,Dashboard/PropFirm,»,PropFirms,,,USER_AUTH,MISSING_GUARD,Product/user route pattern detected but no user auth guard was recognized.,add_or_confirm_login_authcheck_guard,no,yes
TRACE,Features/Advanced-Investment-Portfoio-Manager,»,Features/Advanced-Investment-Portfolio-Manager,,,USER_AUTH,MISSING_GUARD,Product/user route pattern detected but no user auth guard was recognized.,add_or_confirm_login_authcheck_guard,no,yes
TRACE,Premium-Features/Advanced-Trade-Tracker,»,Investments/Trade-Tracker,,,USER_AUTH,MISSING_GUARD,Product/user route pattern detected but no user auth guard was recognized.,add_or_confirm_login_authcheck_guard,no,yes
TRACE,Premium-Features/Wallets,»,Wallets/Manager,,,USER_AUTH,MISSING_GUARD,Product/user route pattern detected but no user auth guard was recognized.,add_or_confirm_login_authcheck_guard,no,yes
TRACE,Investments/Reports,»,Investments/Trade-Tracker,,,USER_AUTH,MISSING_GUARD,Product/user route pattern detected but no user auth guard was recognized.,add_or_confirm_login_authcheck_guard,no,yes
CONNECT,Dashboard/PropFirm,»,PropFirms,,,USER_AUTH,MISSING_GUARD,Product/user route pattern detected but no user auth guard was recognized.,add_or_confirm_login_authcheck_guard,no,yes
CONNECT,Features/Advanced-Investment-Portfoio-Manager,»,Features/Advanced-Investment-Portfolio-Manager,,,USER_AUTH,MISSING_GUARD,Product/user route pattern detected but no user auth guard was recognized.,add_or_confirm_login_authcheck_guard,no,yes
CONNECT,Premium-Features/Advanced-Trade-Tracker,»,Investments/Trade-Tracker,,,USER_AUTH,MISSING_GUARD,Product/user route pattern detected but no user auth guard was recognized.,add_or_confirm_login_authcheck_guard,no,yes
CONNECT,Premium-Features/Wallets,»,Wallets/Manager,,,USER_AUTH,MISSING_GUARD,Product/user route pattern detected but no user auth guard was recognized.,add_or_confirm_login_authcheck_guard,no,yes
CONNECT,Investments/Reports,»,Investments/Trade-Tracker,,,USER_AUTH,MISSING_GUARD,Product/user route pattern detected but no user auth guard was recognized.,add_or_confirm_login_authcheck_guard,no,yes
