| GET     | Dashboard/onboarding                                                        | onboarding                                     | \App\Modules\User\Controllers\DashboardController::onboarding                                        | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Dashboard/checkOnboardingStatus                                             | check-onboarding-status                        | \App\Modules\User\Controllers\DashboardController::checkOnboardingStatus                             | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Dashboard/continue-setup-modal                                              | continue-setup-modal                           | \App\Modules\User\Controllers\DashboardController::continueSetupModal                                | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Dashboard/onboarding/progress                                               | onboarding-progress                            | \App\Modules\User\Controllers\OnboardingWalkthroughController::progress                              | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Management/Marketing/Twitter                                                | »                                              | \App\Modules\Management\Controllers\MarketingAdminController::twitterDashboard                       | botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                                     | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | Management/Marketing/MyMI-Gold/Tasks/Add                                    | »                                              | \App\Modules\Management\Controllers\WalletsAdminController::addUserGoldTasks                         | botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                                     | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | Management/Wallets                                                          | »                                              | \App\Modules\Management\Controllers\WalletsController::index                                         | botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                                     | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | Management/Wallets/Reconcile                                                | »                                              | \App\Modules\Management\Controllers\WalletsController::reconcile                                     | botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                                     | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | Ops                                                                         | »                                              | \App\Modules\Ops\Controllers\OpsDashboardController::index                                           | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                         | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | Ops/projects                                                                | »                                              | \App\Modules\Ops\Controllers\OpsDashboardController::projects                                        | botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                                     | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | Ops/subprojects                                                             | »                                              | \App\Modules\Ops\Controllers\OpsDashboardController::subprojects                                     | botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                                     | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | Ops/tasks                                                                   | »                                              | \App\Modules\Ops\Controllers\OpsDashboardController::tasks                                           | botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                                     | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | Ops/export/tasks.csv                                                        | »                                              | \App\Modules\Ops\Controllers\OpsDashboardController::exportTasksCsv                                  | botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                                     | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | Ops/export/workbook.xlsx                                                    | »                                              | \App\Modules\Ops\Controllers\OpsDashboardController::exportWorkbookXlsx                              | botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                                     | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | Wallets                                                                     | wallets.index                                  | \App\Modules\User\Controllers\WalletsController::index                                               | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Wallets/All                                                                 | wallets.all                                    | \App\Modules\User\Controllers\WalletsController::all                                                 | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Wallets/Account-Manager                                                     | wallets.account-manager                        | \App\Modules\User\Controllers\WalletsController::accountManager                                      | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Wallets/Add                                                                 | wallets.add                                    | \App\Modules\User\Controllers\WalletsController::add                                                 | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Wallets/Add/([^/]+)                                                         | wallets.add.segment                            | \App\Modules\User\Controllers\WalletsController::add/$1                                              | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Wallets/Add/([^/]+)/([^/]+)                                                 | wallets.add.segment.segment                    | \App\Modules\User\Controllers\WalletsController::addFetch/$1/$2                                      | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
