| GET     | Budget/Search/(.*)                                                          | »                                              | \App\Modules\User\Controllers\BudgetController::index                                                | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Budget/This-Month                                                           | »                                              | \App\Modules\User\Controllers\BudgetController::thisMonth                                            | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Budget/This-Month/([^/]+)                                                   | »                                              | \App\Modules\User\Controllers\BudgetController::thisMonth/$1                                         | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Budget/Last-Month                                                           | »                                              | \App\Modules\User\Controllers\BudgetController::lastMonth                                            | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Budget/Last-Month/([^/]+)                                                   | »                                              | \App\Modules\User\Controllers\BudgetController::lastMonth/$1                                         | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Budget/Next-Month                                                           | »                                              | \App\Modules\User\Controllers\BudgetController::nextMonth                                            | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Budget/Next-Month/([^/]+)                                                   | »                                              | \App\Modules\User\Controllers\BudgetController::nextMonth/$1                                         | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Budget/Account-Manager                                                      | »                                              | \App\Modules\User\Controllers\BudgetController::accountManager                                       | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Budget/Add                                                                  | »                                              | \App\Modules\User\Controllers\BudgetController::add                                                  | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Budget/Add/([^/]+)                                                          | »                                              | \App\Modules\User\Controllers\BudgetController::add/$1                                               | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Budget/Approve-Recurring-Schedule/([0-9]+)                                  | »                                              | \App\Modules\User\Controllers\BudgetController::approveRecurringSchedule/$1                          | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Budget/Cancel-Account/([^/]+)                                               | »                                              | \App\Modules\User\Controllers\BudgetController::cancelAccount/$1                                     | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Budget/Copy                                                                 | »                                              | \App\Modules\User\Controllers\BudgetController::edit                                                 | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Budget/Copy/([^/]+)                                                         | »                                              | \App\Modules\User\Controllers\BudgetController::edit/$1                                              | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Budget/Delete-Account                                                       | »                                              | \App\Modules\User\Controllers\BudgetController::deleteAccount                                        | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Budget/Delete-Account/([^/]+)                                               | »                                              | \App\Modules\User\Controllers\BudgetController::deleteAccount/$1                                     | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Budget/Details                                                              | »                                              | \App\Modules\User\Controllers\BudgetController::details                                              | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Budget/Details/([^/]+)                                                      | »                                              | \App\Modules\User\Controllers\BudgetController::details/$1                                           | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Budget/Edit                                                                 | »                                              | \App\Modules\User\Controllers\BudgetController::edit                                                 | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Budget/Edit/([^/]+)                                                         | »                                              | \App\Modules\User\Controllers\BudgetController::edit/$1                                              | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Budget/Edit/([^/]+)/([^/]+)                                                 | »                                              | \App\Modules\User\Controllers\BudgetController::edit/$1/$2                                           | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Budget/Expenses                                                             | »                                              | \App\Modules\User\Controllers\BudgetController::accountOverview                                      | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Budget/Financial-Analysis                                                   | »                                              | \App\Modules\User\Controllers\BudgetController::financialAnalysis                                    | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Budget/Financial-Forecaster                                                 | »                                              | \App\Modules\User\Controllers\BudgetController::financialForecaster                                  | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Budget/Forecast                                                             | »                                              | \App\Modules\User\Controllers\BudgetController::forecast                                             | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Budget/Forecast/([^/]+)                                                     | »                                              | \App\Modules\User\Controllers\BudgetController::forecast/$1                                          | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Budget/History                                                              | »                                              | \App\Modules\User\Controllers\BudgetController::history                                              | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
